ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State,Priority,Tags,Test Case ID,Module,Category,Automation Path
,Test Case,[LOGIN-004] should reject wrong email with valid password,4,Click the Sign in / Login submit button.,"User remains on login page. Error toast ""Login failed"" is displayed.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-004,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-005] should reject unregistered email with invalid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-005,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-005] should reject unregistered email with invalid password,2,Enter email: unknown.user@acme.test,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-005,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-005] should reject unregistered email with invalid password,3,Enter password: wrongpass,Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-005,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-005] should reject unregistered email with invalid password,4,Click the Sign in / Login submit button.,"User remains on login page. Error toast ""Login failed"" is displayed.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; invalid-creds,LOGIN-005,Auth - Login,negative-auth,tests/auth/login.spec.js
,Test Case,[LOGIN-006] should validate empty email with valid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-006,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-006] should validate empty email with valid password,2,Enter email: (empty),Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-006,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-006] should validate empty email with valid password,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-006,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-006] should validate empty email with valid password,4,Click the Sign in / Login submit button.,"Validation message ""Email is required"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-006,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-007] should validate valid email with empty password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password,LOGIN-007,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-007] should validate valid email with empty password,2,Enter email: {admin email from config},Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password,LOGIN-007,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-007] should validate valid email with empty password,3,Enter password: (empty),Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password,LOGIN-007,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-007] should validate valid email with empty password,4,Click the Sign in / Login submit button.,"Validation message ""Password is required"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password,LOGIN-007,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-008] should validate empty email and empty password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; both-fields,LOGIN-008,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-008] should validate empty email and empty password,2,Enter email: (empty),Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; both-fields,LOGIN-008,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-008] should validate empty email and empty password,3,Enter password: (empty),Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; both-fields,LOGIN-008,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-008] should validate empty email and empty password,4,Click the Sign in / Login submit button.,"Validation message ""Email is required"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; both-fields,LOGIN-008,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-009] should validate empty email with invalid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-009,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-009] should validate empty email with invalid password,2,Enter email: (empty),Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-009,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-009] should validate empty email with invalid password,3,Enter password: wrongpass,Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-009,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-009] should validate empty email with invalid password,4,Click the Sign in / Login submit button.,"Validation message ""Email is required"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email,LOGIN-009,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-010] should validate valid email with whitespace-only password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password; whitespace,LOGIN-010,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-010] should validate valid email with whitespace-only password,2,Enter email: {admin email from config},Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password; whitespace,LOGIN-010,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-010] should validate valid email with whitespace-only password,3,Enter password: (whitespace only),Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password; whitespace,LOGIN-010,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-010] should validate valid email with whitespace-only password,4,Click the Sign in / Login submit button.,"Validation message ""Password is required"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; password; whitespace,LOGIN-010,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-011] should validate whitespace-only email with valid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email; whitespace,LOGIN-011,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-011] should validate whitespace-only email with valid password,2,Enter email: (whitespace only),Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email; whitespace,LOGIN-011,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-011] should validate whitespace-only email with valid password,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email; whitespace,LOGIN-011,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-011] should validate whitespace-only email with valid password,4,Click the Sign in / Login submit button.,"Validation message ""Email is required"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; empty-field; email; whitespace,LOGIN-011,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-012] should validate malformed email with valid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-012,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-012] should validate malformed email with valid password,2,Enter email: not-an-email,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-012,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-012] should validate malformed email with valid password,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-012,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-012] should validate malformed email with valid password,4,Click the Sign in / Login submit button.,"Validation message ""Enter a valid email"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-012,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-013] should validate email missing domain with valid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-013,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-013] should validate email missing domain with valid password,2,Enter email: user@,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-013,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-013] should validate email missing domain with valid password,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-013,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-013] should validate email missing domain with valid password,4,Click the Sign in / Login submit button.,"Validation message ""Enter a valid email"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format,LOGIN-013,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-014] should validate malformed email with empty password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; empty-field,LOGIN-014,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-014] should validate malformed email with empty password,2,Enter email: not-an-email,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; empty-field,LOGIN-014,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-014] should validate malformed email with empty password,3,Enter password: (empty),Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; empty-field,LOGIN-014,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-014] should validate malformed email with empty password,4,Click the Sign in / Login submit button.,"Validation message ""Enter a valid email"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; empty-field,LOGIN-014,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-015] should validate malformed email with invalid password,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; invalid-creds,LOGIN-015,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-015] should validate malformed email with invalid password,2,Enter email: not-an-email,Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; invalid-creds,LOGIN-015,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-015] should validate malformed email with invalid password,3,Enter password: wrongpass,Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; invalid-creds,LOGIN-015,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-015] should validate malformed email with invalid password,4,Click the Sign in / Login submit button.,"Validation message ""Enter a valid email"" is displayed. User remains on login page.",REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; email-format; invalid-creds,LOGIN-015,Auth - Login,validation,tests/auth/login.spec.js
,Test Case,[LOGIN-UI-001] should disable submit button while signing in,1,Open the application login page (/login). Clear browser session/local storage.,Login form is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; UI,LOGIN-UI-001,Auth - Login,ui-behavior,tests/auth/login.spec.js
,Test Case,[LOGIN-UI-001] should disable submit button while signing in,2,Enter email: {admin email from config},Email value is entered in the email field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; UI,LOGIN-UI-001,Auth - Login,ui-behavior,tests/auth/login.spec.js
,Test Case,[LOGIN-UI-001] should disable submit button while signing in,3,Enter password: {admin password from config},Password value is entered in the password field.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; UI,LOGIN-UI-001,Auth - Login,ui-behavior,tests/auth/login.spec.js
,Test Case,[LOGIN-UI-001] should disable submit button while signing in,4,Click the Sign in / Login submit button.,User is redirected to dashboard (/).,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; UI,LOGIN-UI-001,Auth - Login,ui-behavior,tests/auth/login.spec.js
,Test Case,[LOGIN-UI-002] should pre-fill sample admin credentials,1,Open the application login page (/login).,Login form is displayed with email and password fields.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; UI,LOGIN-UI-002,Auth - Login,ui-behavior,tests/auth/login.spec.js
,Test Case,[LOGIN-UI-002] should pre-fill sample admin credentials,2,Observe the email and password input fields without entering data.,Email and password fields are pre-filled with sample admin credentials.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Login; UI,LOGIN-UI-002,Auth - Login,ui-behavior,tests/auth/login.spec.js
,Test Case,[LOGOUT-001] Should logout and redirect to login with success toast,1,Login as admin user.,Dashboard is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Logout,LOGOUT-001,Auth - Logout,positive,tests/auth/logout.spec.js
,Test Case,[LOGOUT-001] Should logout and redirect to login with success toast,2,Click Logout from the app layout.,User is redirected to /login. Success toast 'Logged out' is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Logout,LOGOUT-001,Auth - Logout,positive,tests/auth/logout.spec.js
,Test Case,[LOGOUT-002] Should block access to protected routes after logout,1,Login as admin and then logout.,User is on login page.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Logout; Route Guard,LOGOUT-002,Auth - Logout,security,tests/auth/logout.spec.js
,Test Case,[LOGOUT-002] Should block access to protected routes after logout,2,Navigate directly to /users.,User is redirected to /login.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Logout; Route Guard,LOGOUT-002,Auth - Logout,security,tests/auth/logout.spec.js
,Test Case,[GUARD-001] Should redirect unauthenticated users from dashboard to login,1,Clear session and open / (dashboard) without logging in.,User is redirected to /login.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Route Guard,GUARD-001,Auth - Route Guard,security,tests/auth/route-guard.spec.js
,Test Case,[GUARD-002] Should redirect unauthenticated users from users page to login,1,Clear session and open /users without logging in.,User is redirected to /login.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Route Guard,GUARD-002,Auth - Route Guard,security,tests/auth/route-guard.spec.js
,Test Case,[GUARD-003] Should redirect unauthenticated users from products page to login,1,Clear session and open /products without logging in.,User is redirected to /login.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Route Guard,GUARD-003,Auth - Route Guard,security,tests/auth/route-guard.spec.js
,Test Case,[GUARD-004] Should redirect to intended page after login,1,Clear session and navigate to /users.,User is redirected to /login.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Route Guard,GUARD-004,Auth - Route Guard,positive,tests/auth/route-guard.spec.js
,Test Case,[GUARD-004] Should redirect to intended page after login,2,Login with valid admin credentials.,User is redirected to /users and users table loads.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Route Guard,GUARD-004,Auth - Route Guard,positive,tests/auth/route-guard.spec.js
,Test Case,[DASH-001] Should display dashboard heading and total users stat,1,Login as admin.,Dashboard loads.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Dashboard,DASH-001,Dashboard,positive,tests/dashboard/dashboard.spec.js
,Test Case,[DASH-001] Should display dashboard heading and total users stat,2,Verify Total Users stat card displays a numeric value.,UI total users count matches API total users count.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Dashboard,DASH-001,Dashboard,positive,tests/dashboard/dashboard.spec.js
,Test Case,[DASH-002] Should show dashboard as default landing page after login,1,Login as admin with valid credentials.,URL is dashboard (/). Dashboard stats are visible.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,1,E2E; Playwright; Dashboard,DASH-002,Dashboard,positive,tests/dashboard/dashboard.spec.js
,Test Case,"[NAV-001] Should navigate between dashboard, users, and products",1,Login as admin.,Dashboard is displayed.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Navigation,NAV-001,Navigation,positive,tests/navigation/navigation.spec.js
,Test Case,"[NAV-001] Should navigate between dashboard, users, and products",2,Click Users in navigation.,Users page loads (/users).,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Navigation,NAV-001,Navigation,positive,tests/navigation/navigation.spec.js
,Test Case,"[NAV-001] Should navigate between dashboard, users, and products",3,Click Products in navigation.,Products page loads (/products).,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Navigation,NAV-001,Navigation,positive,tests/navigation/navigation.spec.js
,Test Case,"[NAV-001] Should navigate between dashboard, users, and products",4,Click Dashboard in navigation.,Dashboard loads (/).,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,2,E2E; Playwright; Navigation,NAV-001,Navigation,positive,tests/navigation/navigation.spec.js
,Test Case,[NAV-002] Should highlight active nav item,1,Login as admin and navigate to Users.,Users nav item has active highlight styling.,REPLACE_WITH_YOUR_PROJECT\E2E,REPLACE_WITH_YOUR_EMAIL@contoso.com,Design,3,E2E; Playwright; Navigation,NAV-002,Navigation,ui-behavior,tests/navigation/navigation.spec.js
